RECID=R2012111530000002	一	yī
RECID=R2012111530000003	一一	yī yī
RECID=R2012111530000004	一二	yī èr
RECID=R2012111530000005	一二三	yī èr sān
RECID=R2012111530000006	一丁点	yī dīng diǎn
RECID=R2012111530000007	一七	yī qī
RECID=R2012111530000008	一人之下，万人之上	yī rén zhī xià wàn rén zhī shàng
RECID=R2012111530000009	一人计短，众人计长	yī rén jì duǎn zhòng rén jì cháng
RECID=R2012111530000010	一人犯法一人当	yī rén fàn fǎ yī rén dāng
RECID=R2012111530000011	一人有罪一人当	yī rén yǒu zuì yī rén dāng
RECID=R2012111530000012	一人成佛，鸡犬升天	yī rén chéng fó jī quǎn shēng tiān
RECID=R2012111530000013	一人传十，十人传百	yī rén chuán shí shí rén chuán bǎi
RECID=R2012111530000014	一人传虚，万人传实	yī rén chuán xū wàn rén chuán shí
RECID=R2012111530000015	一人向隅，举桌不欢	yī rén xiàng yú jǔ zhuō bù huān
RECID=R2012111530000016	一人班	yī rén bān
RECID=R2012111530000017	一人做事一人当	yī rén zuò shì yī rén dāng
RECID=R2012111530000018	一人得道，鸡犬升天	yī rén dé dào jī quǎn shēng tiān
RECID=R2012111530000019	一九	yī jiǔ
RECID=R2012111530000020	一了百了	yī liǎo bǎi liǎo
RECID=R2012111530000021	一刀一枪	yī dāo yī qiāng
RECID=R2012111530000022	一刀切	yī dāo qiē
RECID=R2012111530000023	一刀齐	yī dāo qí
RECID=R2012111530000024	一刀两断	yī dāo liǎng duàn
RECID=R2012111530000025	一力	yī lì
RECID=R2012111530000026	一干	yī gān
RECID=R2012111530000027	一干二净	yī gān èr jìng
RECID=R2012111530000028	一下	yī xià
RECID=R2012111530000029	一下下	yī xià xià
RECID=R2012111530000030	一下子	yī xià zi
RECID=R2012111530000031	一寸丹心	yī cùn dān xīn
RECID=R2012111530000032	一寸光阴一寸金	yī cùn guāng yīn yī cùn jīn
RECID=R2012111530000033	一大半	yī dà bàn
RECID=R2012111530000034	一大早	yī dà zǎo
RECID=R2012111530000035	一大把	yī dà bǎ
RECID=R2012111530000036	一大串	yī dà chuàn
RECID=R2012111530000037	一大些	yī dà xiē
RECID=R2012111530000038	一大堆	yī dà duī
RECID=R2012111530000039	一大溜	yī dà liù
RECID=R2012111530000040	一大摞	yī dà luò
RECID=R2012111530000041	一丈五尺	yī zhàng wǔ chǐ
RECID=R2012111530000042	一丈红	yī zhàng hóng
RECID=R2012111530000043	一上手	yī shàng shǒu
RECID=R2012111530000044	一小	yī xiǎo
RECID=R2012111530000045	一小会	yī xiǎo huì
RECID=R2012111530000046	一小撮	yī xiǎo cuō
RECID=R2012111530000047	一口	yī kǒu
RECID=R2012111530000048	一口气	yī kǒu qì
RECID=R2012111530000049	一口同音	yī kǒu tóng yīn
RECID=R2012111530000050	一口吃个胖子	yī kǒu chī gè pàng zi
RECID=R2012111530000051	一口吃成个大胖子	yī kǒu chī chéng gè dà pàng zi
RECID=R2012111530000052	一口吞	yī kǒu tūn
RECID=R2012111530000053	一口钉子一个眼	yī kǒu dīng zi yī gè yǎn
RECID=R2012111530000054	一口咬定	yī kǒu yǎo dìng
RECID=R2012111530000055	一口钟	yī kǒu zhōng
RECID=R2012111530000056	一山不容二虎	yī shān bù róng èr hǔ
RECID=R2012111530000057	一山不藏二虎	yī shān bù cáng èr hǔ
RECID=R2012111530000058	一个	(一)yī gè;(二)yī ge
