RECID=R2012111540000002	辵	chuò
RECID=R2012111540000003	辽	liáo
RECID=R2012111540000004	辽东	liáo dōng
RECID=R2012111540000005	辽东豕	liáo dōng shǐ
RECID=R2012111540000006	辽东鹤	liáo dōng hè
RECID=R2012111540000007	辽宁大鼓	liáo níng dà gǔ
RECID=R2012111540000008	辽西	liáo xī
RECID=R2012111540000009	辽远	liáo yuǎn
RECID=R2012111540000010	辽花糖	liáo huā táng
RECID=R2012111540000011	辽旷	liáo kuàng
RECID=R2012111540000012	辽视	liáo shì
RECID=R2012111540000013	辽阔	liáo kuò
RECID=R2012111540000014	辽廓	liáo kuò
RECID=R2012111540000015	边	biān
RECID=R2012111540000016	边上	biān shang
RECID=R2012111540000017	边门	biān mén
RECID=R2012111540000018	边子	biān zi
RECID=R2012111540000019	边区	biān qū
RECID=R2012111540000020	边币	biān bì
RECID=R2012111540000021	边功	biān gōng
RECID=R2012111540000022	边卡	biān qiǎ
RECID=R2012111540000023	边帅	biān shuài
RECID=R2012111540000024	边务	biān wù
RECID=R2012111540000025	边市	biān shì
RECID=R2012111540000026	边头	biān tou
RECID=R2012111540000027	边民	biān mín
RECID=R2012111540000028	边式	biān shi
RECID=R2012111540000029	边地	biān dì
RECID=R2012111540000030	边戍	biān shù
RECID=R2012111540000031	边关	biān guān
RECID=R2012111540000032	边防	biān fáng
RECID=R2012111540000033	边远	biān yuǎn
RECID=R2012111540000034	边材	biān cái
RECID=R2012111540000035	边极	biān jí
RECID=R2012111540000036	边县	biān xiàn
RECID=R2012111540000037	边角	biān jiǎo
RECID=R2012111540000038	边角料	biān jiǎo liào
RECID=R2012111540000039	边际	biān jì
RECID=R2012111540000040	边岸	biān àn
RECID=R2012111540000041	边饰	biān shì
RECID=R2012111540000042	边府	biān fǔ
RECID=R2012111540000043	边炉	biān lú
RECID=R2012111540000044	边沿	biān yán
RECID=R2012111540000045	边房	biān fáng
RECID=R2012111540000046	边限	biān xiàn
RECID=R2012111540000047	边线	biān xiàn
RECID=R2012111540000048	边城	biān chéng
RECID=R2012111540000049	边茶	biān chá
RECID=R2012111540000050	边荒	biān huāng
RECID=R2012111540000051	边省	biān shěng
RECID=R2012111540000052	边界	biān jiè
RECID=R2012111540000053	边贸	biān mào
RECID=R2012111540000054	边将	biān jiàng
RECID=R2012111540000055	边音	biān yīn
RECID=R2012111540000056	边炮	biān pào
RECID=R2012111540000057	边框	biān kuàng
RECID=R2012111540000058	边笋	biān sǔn
RECID=R2012111540000059	边旁	biān páng
RECID=R2012111540000060	边陲	biān chuí
RECID=R2012111540000061	边域	biān yù
RECID=R2012111540000062	边检	biān jiǎn
RECID=R2012111540000063	边厢	biān xiāng
RECID=R2012111540000064	边患	biān huàn
RECID=R2012111540000065	边衅	biān xìn
RECID=R2012111540000066	边舷	biān xián
RECID=R2012111540000067	边涯	biān yá
RECID=R2012111540000068	边款	biān kuǎn
RECID=R2012111540000069	边幅	biān fú
RECID=R2012111540000070	边锋	biān fēng
RECID=R2012111540000071	边堡	biān bǎo
